question,answers
What process do moderate and reformist Islamists work within the boundaries of?,"['democratic', 'democratic process', 'democratic']"
What is Southern California often abbreviated as?,"['SoCal', 'SoCal', 'SoCal']"
"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?","['10 counties', '10', '10']"
What is a major importance of Southern California in relation to California and the United States?,"['economic center', 'major economic center', 'economic center']"
"What are the ties that best described what the ""eight counties"" are based on?","['demographics and economic ties', 'economic', 'demographics and economic']"
The reasons for the las two counties to be added are based on what?,"['historical political divisions', 'historical political divisions', 'historical political divisions']"
Who is the chair of the IPCC?,"['Hoesung Lee', 'Hoesung Lee', 'Hoesung Lee']"
What nationality is Hoesung Lee?,"['Korean', 'onomist', 'Korean']"
Who is the vice-chair of the IPCC?,"['Ismail El Gizouli', 'Ismail El Gizouli', 'Ismail El Gizouli']"
Who was the first chair of the IPCC?,"['Bert Bolin', 'Bert Bolin', 'Bert Bolin']"
When did Pachauri resign as chair of the IPCC?,"['February 2015', 'February 2015', 'February 2015']"
What is a mechanical barrier in insects that protects the insect?,"['exoskeleton', 'exoskeleton', 'exoskeleton']"
Who is on the IPCC Panel?,"['representatives appointed by governments and organizations', 'representatives appointed by governments and organizations', 'representatives appointed by governments and organizations']"
How many people attended the 2003 IPCC meeting?,"['350', '350', '350']"
How much of the IPCC attendees are government representatives?,"['about seven-eighths', 'seven-eighths', 'about seven-eighths']"
"In a computational problem, what can be described as a string over an alphabet?","['problem instance', 'a problem instance', 'problem instance']"
What is the name of the alphabet is most commonly used in a problem instance?,"['binary alphabet', 'binary', 'binary']"
What is another term for the string of a problem instance?,"['bitstrings', 'bitstrings', 'bitstrings']"
"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?","['binary notation', 'binary notation', 'binary notation']"
What is one way in which graphs can be encoded? ,"['adjacency matrices', 'directly via their adjacency matrices']"
Who wrote that it is difficult to produce an all inclusive definition of civil disobedience?,"['LeGrande', 'LeGrande', 'LeGrande', 'LeGrande', 'LeGrande']"
Le Grande also wrote that defining the term civil disobedience so difficult it could be described as? ,"['impossible', 'a maze of semantical problems and grammatical niceties', 'impossible', 'impossible']"
Le grand asks for a variance of what three terms?,"['lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience']"
Le grand states that students studying civil disobedience will often run into grammatical niceties and what other problem? ,"['semantical', 'semantical', 'a maze of semantical problems', 'semantical', 'semantical problems']"
Le grand concludes that an author's words offer only what they intended for them to imply regarding this type of terminology?,"['specific', 'civil disobedience', 'specific', 'specific']"
Who said that writing a good description of civil disobedience is hard?,"['LeGrande', 'LeGrande', 'LeGrande', 'LeGrande', 'LeGrande']"
How much literature has been written regarding civil disobedience?,"['voluminous literature', 'voluminous', 'voluminous', 'voluminous']"
What issue plagues the literature about civil disobedience?,"['semantical problems and grammatical niceties', 'maze of semantical problems and grammatical niceties', 'semantical problems and grammatical niceties', 'semantical problems and grammatical niceties']"
What type of protest falls under civil disobedience without aggression?,"['nonviolent civil disobedience', 'nonviolent civil disobedience', 'nonviolent', 'nonviolent', 'nonviolent']"
What type of civil disobedience is accompanied by aggression?,"['violent civil disobedience', 'violent civil disobedience', 'violent', 'violent', 'violent']"
What president eliminated the Christian position in the curriculum?,"['Charles W. Eliot', 'Charles W. Eliot', 'Charles W. Eliot']"
What conviction motivated Eliot to move towards secularization?,"['Transcendentalist Unitarian', 'Transcendentalist Unitarian', 'Transcendentalist Unitarian']"
From whom were the movement that Eliot followed derived?,"['William Ellery Channing and Ralph Waldo Emerson', 'William Ellery Channing and Ralph Waldo Emerson', 'William Ellery Channing and Ralph Waldo Emerson']"
Vice President Agnew describes Civil disobedience in what activities?,"['muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'civil disobedience', 'muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'activities of muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins']"
Civil disobedience has been argued in more recent times to have suffered from what?,"['ambiguity', 'debased', 'ambiguity', 'ambiguity', 'ambiguity']"
What person argues that civil disobedience is used to describe everything?,"['Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen']"
"In modern times, what is said about civil disobedience?","['become utterly debased', 'utterly debased', 'in modern times, become utterly debased', 'become utterly debased', 'become utterly debased']"
Who gave a negative connotation to civil disobedience in recent history?,"['Vice President Agnew', 'Vice President Agnew', 'Vice President Agnew', 'Vice President Agnew', 'Marshall Cohen']"
